decile,n_points,curvature_p50,mean_abs_err_x,mean_abs_err_y,mean_abs_err_z
0,102000,0.0013192335609346628,0.13916535675525665,0.06660372763872147,0.06329521536827087
1,102000,0.004073926247656345,0.11242573708295822,0.08010394871234894,0.0846271961927414
2,102000,0.006037565879523754,0.10423468798398972,0.08277617394924164,0.08637909591197968
3,102000,0.008336158469319344,0.09921830892562866,0.08237479627132416,0.08397289365530014
4,102000,0.011945988982915878,0.09938488155603409,0.07882075011730194,0.07677049189805984
5,102000,0.0213298499584198,0.1237468495965004,0.09029853343963623,0.0732397809624672
6,102000,0.036721933633089066,0.16142040491104126,0.11092888563871384,0.08089281618595123
7,102000,0.05624651908874512,0.1781652271747589,0.11145918816328049,0.08833815157413483
8,102000,0.08786474913358688,0.17916205525398254,0.10842719674110413,0.09644242376089096
9,102000,0.1473073661327362,0.1519746035337448,0.10481967777013779,0.09889473021030426
