case_id,n_points,tau_x_rel_l2_pct,tau_y_rel_l2_pct,tau_z_rel_l2_pct,tau_y_mean_abs_err,tau_z_mean_abs_err
run_109,9275074,10.197750639096288,13.863283663701337,14.844296697523957,0.08524542301893234,0.0810050219297409
run_150,8194133,9.02580615925149,12.45982551501338,12.852216392866445,0.08519471436738968,0.07806266099214554
run_165,9091380,9.580442739849405,13.383415622476544,12.481163583966179,0.08704625070095062,0.07496327906847
run_177,8113453,9.150646568349789,13.049496667184707,13.718567433188047,0.0874045118689537,0.08009215444326401
run_191,8635804,9.527333739509803,12.881755326596572,13.63233853232401,0.08967920392751694,0.08434514701366425
run_22,8850602,10.060617570235717,13.27872894878035,13.91524104851453,0.09528783708810806,0.08667590469121933
run_228,8630055,10.694302178058157,13.995228306940351,21.627587514111198,0.09689130634069443,0.09293688088655472
run_234,8243409,9.76730641445234,13.338266951835292,14.200788140712042,0.08632263541221619,0.07641289383172989
run_241,8167762,8.718731439844005,12.454212530795,12.687497126792092,0.08164608478546143,0.07360715419054031
run_247,7825548,9.877827365827137,14.105256128611101,15.033332209993336,0.09542365372180939,0.08719620853662491
run_252,8369601,9.36786783027995,13.189177805850589,13.211548113500179,0.09225169569253922,0.08225162327289581
run_253,8187510,9.358932096911248,13.169300247251764,14.997549759204698,0.09231963008642197,0.08966617286205292
run_260,8234041,10.4134160594706,13.848575216859999,15.521492424919202,0.09016713500022888,0.07956893742084503
run_271,8448796,8.754396471095415,12.49447060512732,12.62914506506267,0.07976745814085007,0.07130522280931473
run_275,9429532,10.60778192122638,15.183843169905709,15.88186762857794,0.10382707417011261,0.09870772063732147
run_298,7527662,8.684988717021712,12.116788551550156,13.861955338657102,0.08204731345176697,0.07673266530036926
run_303,9119098,10.433322552057525,14.190257139107148,14.619910982590048,0.09711519628763199,0.09094437956809998
run_311,8354690,9.590976350899046,13.195577090384935,13.108461629164491,0.08818156272172928,0.07784195989370346
run_321,8224694,10.001686880981714,13.81011378317841,15.289746193353668,0.09580215811729431,0.0879230946302414
run_324,7939884,11.70806753485386,16.120842023198655,18.683295092021094,0.11229527741670609,0.09890852868556976
run_328,9563380,9.741846455944238,13.300137959791167,12.95531866172139,0.08381588757038116,0.07614918798208237
run_341,7839943,9.804675240940917,13.74388760785665,15.16822120661775,0.09876668453216553,0.08476561307907104
run_352,7606276,10.3280170107441,14.076484933359826,15.634742470368721,0.09844166040420532,0.09020723402500153
run_366,8741165,10.273039800265353,13.678956122563118,15.044377983872009,0.09039510786533356,0.08083219826221466
run_380,9744343,11.66595118292473,15.041348209510726,14.609395039221674,0.09316767007112503,0.08394104242324829
run_390,8598730,11.419683965259509,14.708321119585289,15.513010398778187,0.10646042227745056,0.09623304754495621
run_4,8140177,8.912334251184628,12.436203882392052,12.738074699319593,0.08375098556280136,0.07674715667963028
run_401,8238000,9.796114053754284,13.849708535782865,14.782747498690313,0.0912022665143013,0.08181091398000717
run_423,9068705,10.362675063636791,14.382460452164263,14.95336700212049,0.09596418589353561,0.08637883514165878
run_441,8220438,8.71529029859642,12.712012121281942,12.900998243972733,0.0846666619181633,0.07505769282579422
run_447,7991551,9.318283798287773,12.57642273078236,13.985896058458087,0.08663224428892136,0.08043497800827026
run_454,8175651,10.406669224257536,13.468040225752787,13.715596077632517,0.09299290925264359,0.0818154513835907
run_487,8869765,10.326131415293833,13.868448096529695,15.064179472295042,0.09262184798717499,0.0836140438914299
run_56,7506981,10.360937001449734,13.770023942884228,15.546923591128387,0.09779608994722366,0.08926310390233994
